Requirement Text,Requirement Type,Source Dataset
The system shall refresh the display every 60 seconds.,Performance,GitHub SRS
The application shall match the color of the schema set forth by Department of Homeland Security,Look And Feel,GitHub SRS
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,Usability,GitHub SRS
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,Availability,GitHub SRS
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,Usability,GitHub SRS
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,Security,GitHub SRS
The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,Usability,GitHub SRS
The product shall respond fast to keep up-to-date data in the display.,Performance,GitHub SRS
The system shall have a MDI form that allows for the viewing of the graph and the data table.,Functional,GitHub SRS
The system shall display Events in a vertical table by time.,Functional,GitHub SRS
The system shall display the Events in a graph by time.,Functional,GitHub SRS
The system shall display Events or Activities.,Functional,GitHub SRS
The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,Functional,GitHub SRS
The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,Functional,GitHub SRS
The table side of the display shall be split into 2 regions: sequential and temporal.,Functional,GitHub SRS
The top 1/4 of the table will hold events that are to occur sequentially.,Functional,GitHub SRS
The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,Functional,GitHub SRS
The system shall color code events according to their variance from current time.,Functional,GitHub SRS
The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,Functional,GitHub SRS
The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,Functional,GitHub SRS
The system shall allow modification of the display.,Functional,GitHub SRS
The system shall offer a display of all the Events in the exercise.,Functional,GitHub SRS
The system shall filter data by: Venues and Key Events.,Functional,GitHub SRS
The system shall allow a user to define the time segments,Functional,GitHub SRS
The system shall display the local and exercise time in separate clocks,Functional,GitHub SRS
The system shall offer the ability to pause and resume the refresh of data.,Functional,GitHub SRS
The system shall provide charts for the Activity or Event actual versus assumed time.,Functional,GitHub SRS
The system shall provide a history report of changes made to the Activity or Event data,Functional,GitHub SRS
The look and feel of the system shall conform to the user interface standards of the smart device.,Look And Feel,GitHub SRS
The user interface shall have standard menus  buttons for navigation,Look And Feel,GitHub SRS
The system shall have a professional appearance,Look And Feel,GitHub SRS
The product shall have a consistent color scheme and fonts.,Look And Feel,GitHub SRS
The system shall be used by realtors with no training.,Usability,GitHub SRS
The system shall be intuitive and self explanatory.,Usability,GitHub SRS
The product shall be easy for a realtor to learn.,Usability,GitHub SRS
The product shall use symbols and words that are naturally understandable by the realtor community.,Usability,GitHub SRS
The product shall produce search results in an acceptable time,Performance,GitHub SRS
The search results shall be returned no later 30      seconds  after the user has entered the search criteria,Performance,GitHub SRS
The product shall generate a CMA report in an acceptable time.,Performance,GitHub SRS
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,Performance,GitHub SRS
The product shall synchronize contacts and appointments in an acceptable time.,Performance,GitHub SRS
The product shall synchronize with the office system every hour.,Performance,GitHub SRS
The product shall be available for use 24 hours per day  365 days  per year,Availability,GitHub SRS
Out of 1000 accesses to the system  the system is available 999 times.,Availability,GitHub SRS
The product shall operate in offline mode whenever internet connection is unavailable.,Fault Tolerance,GitHub SRS
The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,Fault Tolerance,GitHub SRS
The product shall retain user preferences in the event of a failure.,Fault Tolerance,GitHub SRS
100% of saved user preferences shall be restored when system comes back online.,Fault Tolerance,GitHub SRS
The product shall be able to support multiple remote users,Scalability,GitHub SRS
The product shall be able support 1000 simultaneous users.,Scalability,GitHub SRS
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,Scalability,GitHub SRS
The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,Usability,GitHub SRS
90% of untrained realtors shall be able to install the product on their device without printed instructions,Usability,GitHub SRS
The product is expected to run on Windows CE and Palm operating systems.,Portability,GitHub SRS
Only registered realtors shall be able to access the system.,Security,GitHub SRS
Every user of the system shall be authenticated and authorized.,Security,GitHub SRS
The product shall prevent its data from incorrect data being introduced.,Security,GitHub SRS
The system shall allow a real estate agent to query MLS information,Functional,GitHub SRS
The user shall be able to get driving directions to a selected property,Functional,GitHub SRS
The user shall be able to download appointments and contact information for clients,Functional,GitHub SRS
The system shall display clear property images in the search results,Functional,GitHub SRS
The system shall update or create new property listings in the MLS,Functional,GitHub SRS
Realtor shall be able to generate a CMA report based on property criteria,Functional,GitHub SRS
The system shall be able to call the seller or buyer to schedule an appointment,Functional,GitHub SRS
The realtor shall be notified of new client appointments after automatic synchronization with office system,Functional,GitHub SRS
The realtor shall be able to retrieve a map showing property locations for a specified area,Functional,GitHub SRS
The system shall notify the realtor when a seller or buyer responds to an appointment request,Functional,GitHub SRS
The product shall allow the user to save the property search results.,Functional,GitHub SRS
The system shall be easy to use by the Program Administrators/Nursing Staff Members.,Usability,GitHub SRS
All of the users shall be able to use the system after one day of training.,Usability,GitHub SRS
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,Usability,GitHub SRS
The number of mistakes noted by the students shall be decreased by 50% in the first year.,Usability,GitHub SRS
