text,type,type_full
The system shall refresh the display every 60 seconds.,PE,Performance
The application shall match the color of the schema set forth by Department of Homeland Security,LF,Look & Feel
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US,Usability
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A,Availability
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US,Usability
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE,Security
The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,Usability
The product shall respond fast to keep up-to-date data in the display.,PE,Performance
The system shall have a MDI form that allows for the viewing of the graph and the data table.,F,Functional
The system shall display Events in a vertical table by time.,F,Functional
The system shall display the Events in a graph by time.,F,Functional
The system shall display Events or Activities.,F,Functional
The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F,Functional
The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F,Functional
The table side of the display shall be split into 2 regions: sequential and temporal.,F,Functional
The top 1/4 of the table will hold events that are to occur sequentially.,F,Functional
The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F,Functional
The system shall color code events according to their variance from current time.,F,Functional
The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,F,Functional
The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F,Functional
The system shall allow modification of the display.,F,Functional
The system shall offer a display of all the Events in the exercise.,F,Functional
The system shall filter data by: Venues and Key Events.,F,Functional
The system shall allow a user to define the time segments,F,Functional
The system shall display the local and exercise time in separate clocks,F,Functional
The system shall offer the ability to pause and resume the refresh of data.,F,Functional
The system shall provide charts for the Activity or Event actual versus assumed time.,F,Functional
The system shall provide a history report of changes made to the Activity or Event data,F,Functional
The look and feel of the system shall conform to the user interface standards of the smart device.,LF,Look & Feel
The user interface shall have standard menus  buttons for navigation,LF,Look & Feel
The system shall have a professional appearance,LF,Look & Feel
The product shall have a consistent color scheme and fonts.,LF,Look & Feel
The system shall be used by realtors with no training.,US,Usability
The system shall be intuitive and self explanatory.,US,Usability
The product shall be easy for a realtor to learn.,US,Usability
The product shall use symbols and words that are naturally understandable by the realtor community.,US,Usability
The product shall produce search results in an acceptable time,PE,Performance
The search results shall be returned no later 30      seconds  after the user has entered the search criteria,PE,Performance
The product shall generate a CMA report in an acceptable time.,PE,Performance
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE,Performance
The product shall synchronize contacts and appointments in an acceptable time.,PE,Performance
The product shall synchronize with the office system every hour.,PE,Performance
The product shall be available for use 24 hours per day  365 days  per year,A,Availability
Out of 1000 accesses to the system  the system is available 999 times.,A,Availability
The product shall operate in offline mode whenever internet connection is unavailable.,FT,Fault Tolerance
The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,FT,Fault Tolerance
The product shall retain user preferences in the event of a failure.,FT,Fault Tolerance
100% of saved user preferences shall be restored when system comes back online.,FT,Fault Tolerance
The product shall be able to support multiple remote users,SC,Scalability
The product shall be able support 1000 simultaneous users.,SC,Scalability
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC,Scalability
The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,US,Usability
90% of untrained realtors shall be able to install the product on their device without printed instructions,US,Usability
The product is expected to run on Windows CE and Palm operating systems.,PO,Portability
Only registered realtors shall be able to access the system.,SE,Security
Every user of the system shall be authenticated and authorized.,SE,Security
The product shall prevent its data from incorrect data being introduced.,SE,Security
The system shall allow a real estate agent to query MLS information,F,Functional
The user shall be able to get driving directions to a selected property,F,Functional
The user shall be able to download appointments and contact information for clients,F,Functional
The system shall display clear property images in the search results,F,Functional
The system shall update or create new property listings in the MLS,F,Functional
Realtor shall be able to generate a CMA report based on property criteria,F,Functional
The system shall be able to call the seller or buyer to schedule an appointment,F,Functional
The realtor shall be notified of new client appointments after automatic synchronization with office system,F,Functional
The realtor shall be able to retrieve a map showing property locations for a specified area,F,Functional
The system shall notify the realtor when a seller or buyer responds to an appointment request,F,Functional
The product shall allow the user to save the property search results.,F,Functional
The system shall be easy to use by the Program Administrators/Nursing Staff Members.,US,Usability
All of the users shall be able to use the system after one day of training.,US,Usability
